Enhanced Chord Analysis Results
==================================================

Source File: /home/dusitn/Downloads/The Devil's Quiet Hour  (Remastered) (Remix).mp3
Key Signature: B Minor
Total Chord Segments: 948
Analysis Duration: 215.2 seconds

Chord Progression:
--------------------------------------------------
    Time           Chord     Duration
--------------------------------------------------
     0.1s           E7#11         0.0s
     0.1s            Dm13         0.1s
     0.2s       D#maj7#11         0.0s
     0.2s             EM7         0.1s
     0.3s          Eadd11         0.1s
     0.4s             FM7         0.3s
     0.7s             FM7         0.2s
     0.8s        Emaj7#11         0.0s
     0.9s       A#maj7#11         0.1s
     1.0s            AmM7         0.2s
     1.2s            E7#9         1.8s
     2.9s           Dsus2         0.2s
     3.1s            Dm11         0.0s
     3.1s        Dmaj7#11         0.0s
     3.2s        Amaj7#11         0.0s
     3.2s            A#11         0.3s
     3.5s          B6sus4         1.1s
     4.6s            BmM7         2.1s
     6.6s            C7#9         2.0s
     8.7s            Bm13         0.2s
     8.9s           Bdim7         0.3s
     9.2s            BmM7         0.3s
     9.5s            Em11         0.0s
     9.6s            E7#9         1.0s
    10.6s             EM9         0.0s
    10.6s             C11         0.9s
    11.5s        Dmaj7#11         0.1s
    11.6s           A#7#9         0.8s
    12.3s            Bm13         0.4s
    12.7s       A#maj7#11         0.1s
    12.8s            BmM7         0.5s
    13.3s           Bm6/9         0.1s
    13.4s            BmM7         0.2s
    13.6s            Bm11         0.1s
    13.7s        Gmaj7#11         0.0s
    13.7s        Cmaj7#11         0.1s
    13.8s             CM9         0.5s
    14.3s             CM7         0.6s
    14.8s             C11         0.3s
    15.1s           Gm6/9         1.4s
    16.5s             B13         0.3s
    16.8s            BmM7         0.6s
    17.4s            BmM7         0.1s
    17.6s          A6sus4         0.1s
    17.6s            Gm11         0.0s
    17.7s            BmM7         0.1s
    17.7s             G11         0.1s
    17.9s             G11         0.0s
    17.9s            Gm11         0.0s
    17.9s           A#7#9         0.0s
    17.9s       A#maj7#11         0.6s
    18.5s             Em7         0.5s
    19.0s           Dsus2         0.4s
    19.4s           C#7#9         0.0s
    19.4s          F#7#11         1.7s
    21.1s             E11         0.0s
    21.1s             AM9         0.1s
    21.3s            BmM7         0.2s
    21.5s           Dsus2         0.1s
    21.6s            BmM7         0.1s
    21.7s            BmM7         1.2s
    22.8s          E6sus4         0.3s
    23.1s           C#7#9         0.0s
    23.2s             C11         0.0s
    23.2s             CM9         0.3s
    23.5s            Em11         0.0s
    23.5s            EmM7         0.0s
    23.5s          E6sus4         0.0s
    23.5s            Em11         0.3s
    23.8s             EM9         0.0s
    23.8s            C7#9         0.0s
    23.9s            B7#9         0.0s
    23.9s           Dsus2         1.0s
    24.9s           Bm6/9         0.2s
    25.1s            BmM7         0.1s
    25.2s             BM9         0.3s
    25.5s            Bm13         0.0s
    25.5s           Bm6/9         0.0s
    25.5s          Bmadd9         0.0s
    25.6s            BmM7         0.1s
    25.7s           Bm6/9         0.2s
    25.9s            BmM7         0.3s
    26.1s            BmM7         0.1s
    26.2s       A#maj7#11         0.7s
    26.9s            Em13         0.7s
    27.7s            EmM7         0.0s
    27.7s        Emaj7#11         0.0s
    27.7s            EmM7         0.2s
    27.9s            EmM7         0.1s
    28.0s             DM9         0.3s
    28.2s       D#maj7#11         0.8s
    29.1s            BmM7         0.1s
    29.2s            BmM7         0.1s
    29.2s            Bm11         0.3s
    29.5s          G#7#11         0.0s
    29.6s            Dm13         0.2s
    29.7s            BmM7         0.1s
    29.8s            Bm11         0.0s
    29.8s            BmM7         0.1s
    29.9s           Dm6/9         0.2s
    30.1s            Dm11         0.2s
    30.3s           Gm6/9         0.0s
    30.3s             A11         0.1s
    30.5s            AmM7         0.0s
    30.5s       G#maj7#11         0.2s
    30.7s           Csus2         0.0s
    30.7s            Cm13         0.3s
    31.0s          C6sus4         0.6s
    31.6s          C6sus4         0.0s
    31.6s             C13         0.0s
    31.6s            AmM7         0.2s
    31.8s            Am13         0.2s
    32.0s           Cdim7         0.2s
    32.2s            Cm13         0.2s
    32.4s             C11         0.1s
    32.5s           E7#11         0.0s
    32.5s        Emaj7#11         0.3s
    32.9s          B6sus4         0.1s
    33.0s           Bsus2         0.2s
    33.2s             B13         0.1s
    33.3s            BmM7         0.9s
    34.2s       A#maj7#11         0.2s
    34.4s       A#maj7#11         0.1s
    34.6s        Amaj7#11         0.1s
    34.6s        Amaj7#11         1.5s
    36.1s             E13         0.2s
    36.3s             C11         0.0s
    36.4s           C#7#9         0.0s
    36.4s             EM9         0.0s
    36.4s            C7#9         0.1s
    36.5s            Cm13         0.0s
    36.5s       D#maj7#11         0.1s
    36.6s       A#maj7#11         0.0s
    36.6s            A#11         0.8s
    37.5s            BmM7         0.0s
    37.5s           Bm6/9         0.1s
    37.6s            BmM7         0.3s
    37.9s          D6sus4         0.2s
    38.1s          D6sus4         0.0s
    38.1s            BmM7         0.1s
    38.2s            Bm11         0.2s
    38.3s            BmM7         0.1s
    38.4s             Bm6         0.3s
    38.8s             D11         0.0s
    38.8s        Dmaj7#11         0.0s
    38.8s           D7#11         0.0s
    38.8s            Bm13         0.8s
    39.7s           Bsus4         0.2s
    39.9s          E6sus4         0.0s
    39.9s           C#m13         0.0s
    39.9s       A#maj7#11         0.1s
    40.0s             DM9         0.1s
    40.2s           C#m11         0.1s
    40.2s             E11         0.0s
    40.3s       A#maj7#11         0.1s
    40.3s           Asus2         0.1s
    40.4s             AM7         0.2s
    40.6s       A#maj7#11         0.0s
    40.6s             DM9         0.0s
    40.6s          D6sus4         0.0s
    40.7s            Bm11         0.1s
    40.8s            Bm11         0.9s
    41.7s           Bm6/9         0.5s
    42.2s            BmM7         0.2s
    42.4s           D7#11         0.5s
    42.9s            Dm11         0.0s
    42.9s           Csus2         0.0s
    42.9s             CM9         0.1s
    43.0s       A#maj7#11         0.2s
    43.2s            Am13         0.6s
    43.8s          C#dim7         0.9s
    44.7s             GM9         0.0s
    44.7s             GM7         0.1s
    44.7s          D6sus4         0.3s
    45.1s            G7#9         0.7s
    45.8s            BmM7         0.1s
    46.0s           Bm6/9         0.0s
    46.0s            BmM7         0.1s
    46.1s            BmM7         0.2s
    46.3s            BmM7         0.6s
    46.9s            Dm13         0.1s
    47.0s            BmM7         0.2s
    47.2s           A#7#9         0.0s
    47.2s       A#maj7#11         0.0s
    47.3s            A7#9         0.0s
    47.3s             C13         0.0s
    47.3s             C11         0.0s
    47.3s           C7#11         0.7s
    48.0s          C6sus4         0.1s
    48.1s          C6sus4         0.1s
    48.2s            Am11         0.1s
    48.2s             C13         0.0s
    48.3s            Am11         0.0s
    48.3s            AmM7         0.1s
    48.4s            Am13         0.0s
    48.4s             C13         0.0s
    48.4s             BM9         0.1s
    48.5s            CmM7         0.1s
    48.6s             C13         0.1s
    48.6s            Am11         0.0s
    48.6s            Cm13         0.0s
    48.7s          C6sus4         0.0s
    48.7s            Cm13         0.0s
    48.7s             C13         0.3s
    49.0s        Cmaj7#11         0.3s
    49.3s        Gmaj7#11         0.0s
    49.3s       F#maj7#11         0.0s
    49.3s            C#11         0.0s
    49.3s        Fmaj7#11         0.0s
    49.4s           B7#11         0.4s
    49.8s          B6sus4         0.3s
    50.0s          B6sus4         0.0s
    50.0s             BM9         0.3s
    50.4s             BM9         0.0s
    50.4s          B6sus4         0.3s
    50.7s             BM9         0.0s
    50.7s            BmM7         0.0s
    50.7s             BM9         0.3s
    51.1s             E11         1.4s
    52.5s            Em11         0.3s
    52.8s             E13         0.3s
    53.1s            B7#9         0.1s
    53.2s             B11         0.0s
    53.3s            B7#9         0.3s
    53.5s        Cmaj7#11         1.2s
    54.8s            Bm13         0.0s
    54.8s             Bm9         0.6s
    55.4s            BmM7         0.2s
    55.5s       A#maj7#11         0.2s
    55.7s            Em11         0.5s
    56.2s           Esus2         0.0s
    56.3s          Emadd9         0.1s
    56.3s            EmM7         0.2s
    56.6s          E6sus4         0.2s
    56.7s        Emaj7#11         0.1s
    56.8s             EM9         0.5s
    57.3s             D11         0.0s
    57.4s             E11         0.1s
    57.5s             EM9         0.0s
    57.5s             E11         0.4s
    57.9s            Am13         0.0s
    58.0s             C13         0.2s
    58.2s            Am11         0.0s
    58.2s             Am7         0.4s
    58.6s           Csus2         0.0s
    58.6s          C6sus4         0.1s
    58.7s            A7#9         0.1s
    58.8s          Aadd11         1.2s
    60.0s            Em11         0.8s
    60.9s             C11         0.0s
    60.9s             FM9         0.2s
    61.1s          E6sus4         0.4s
    61.5s            Em11         0.0s
    61.6s            Em13         0.6s
    62.1s            Bm11         0.2s
    62.3s           Bsus4         0.0s
    62.3s             B11         0.0s
    62.3s           Bsus4         0.5s
    62.8s            BmM7         2.1s
    64.9s           Csus4         0.0s
    64.9s             CM7         0.1s
    65.0s             CM9         0.8s
    65.7s          C6sus4         0.3s
    66.0s        Cmaj7#11         0.1s
    66.1s             B11         0.1s
    66.2s             B11         0.2s
    66.3s             B13         0.4s
    66.8s             BM9         0.1s
    66.9s          B6sus4         0.4s
    67.3s           Esus2         0.1s
    67.4s        Emaj7#11         0.4s
    67.8s           C#m11         0.3s
    68.0s        Amaj7#11         1.3s
    69.3s           Esus4         0.0s
    69.3s          E6sus4         0.1s
    69.4s             FM7         0.1s
    69.5s             FM7         0.2s
    69.7s             FM7         0.2s
    69.9s          Dmadd9         0.3s
    70.1s             FM9         0.1s
    70.2s        Cmaj7#11         0.8s
    71.1s            Bm11         0.0s
    71.1s            BmM7         0.1s
    71.2s            BmM7         0.1s
    71.3s            Bm11         0.1s
    71.4s          A6sus4         0.8s
    72.2s            BmM7         0.1s
    72.3s             D13         1.3s
    73.5s             FM7         0.2s
    73.7s             FM9         0.3s
    74.0s            G#M7         0.0s
    74.0s          Fmadd9         0.4s
    74.4s            G7#9         0.3s
    74.7s            Bm13         0.7s
    75.4s            BmM7         0.1s
    75.5s            BmM7         1.0s
    76.5s            E7#9         0.3s
    76.8s            Em11         0.1s
    76.9s          E6sus4         0.7s
    77.6s             C11         0.1s
    77.7s          G6sus4         0.1s
    77.8s           Esus2         0.2s
    78.0s          E6sus4         0.3s
    78.3s       D#maj7#11         1.1s
    79.4s            BmM7         0.1s
    79.6s             BM9         0.1s
    79.7s             AM9         0.0s
    79.7s           Asus2         0.3s
